"Parser",,,,,,,,,,,,
,"ID","brooklyn-bridge-movies-with-a-view-2011",,,,,,,,,,
"Festival",,,,,,,,,,,,
,"Name","Brooklyn Bridge Movies With a View",,,,,,,,,,
,"Merge Key","brooklyn-bridge-movies-with-a-view",,,,,,,,,,
,"Season Merge Key","brooklyn-bridge-movies-with-a-view-2011",,,,,,,,,,
,"Season Start Date","07/07/2011",,,,,,,,,,
,"Season End Date","08/25/2011",,,,,,,,,,
,"Season URL","http://www.brooklynbridgepark.org/go/programs-/-events/syfy-movies-with-a-view",,,,,,,,,,
"Venue",,,,,,,,,,,,
,"Name","Brooklyn Bridge Park",,,,,,,,,,
,"Address","1 Furman Street, Brooklyn, NY 11201",,,,,,,,,,
,"City","brooklyn",,,,,,,,,,
,"Neighborhood",,,,,,,,,,,
,"Lat",40.7029949,,,,,,,,,,
,"Long",-73.99471219999998,,,,,,,,,,
,"URL","http://www.brooklynbridgepark.org/",,,,,,,,,,
,,,,,,,,,,,,
"Shows",,,,,,,,,,,,
,"Merge Key","Show Date","Performers","Title","Show Time","Door Time","Venue Name","Venue URL","Free","Show URL","Image URL","Resources"
,"manhattan","07/07/2011",,"Manhattan","08:00:00 PM","06:00:00 PM","Brooklyn Bridge Park","http://www.brooklynbridgepark.org/",,"http://www.brooklynbridgepark.org/go/programs-/-events/syfy-movies-with-a-view","http://ia.media-imdb.com/images/M/MV5BNjAwMzcyNDk2OF5BMl5BanBnXkFtZTcwMjE4OTYwNA@@._V1._SX640_SY514_.jpg",
,"ghostbusters","07/14/2011",,"Ghostbusters","08:00:00 PM","06:00:00 PM","Brooklyn Bridge Park","http://www.brooklynbridgepark.org/",,"http://www.brooklynbridgepark.org/go/programs-/-events/syfy-movies-with-a-view","http://www.criticplanet.org/wp-content/uploads/2009/04/ghostbusters-1984.jpg",
,"sweet-smell-of-success","07/21/2011",,"Sweet Smell of Success","08:00:00 PM","06:00:00 PM","Brooklyn Bridge Park","http://www.brooklynbridgepark.org/",,"http://www.brooklynbridgepark.org/go/programs-/-events/syfy-movies-with-a-view","http://ia.media-imdb.com/images/M/MV5BNTk2MzU2ODc3NV5BMl5BanBnXkFtZTcwNDU1MjkyMw@@._V1._SX640_SY576_.jpg",
,"basquiat","07/28/2011",,"Basquiat","08:00:00 PM","06:00:00 PM","Brooklyn Bridge Park","http://www.brooklynbridgepark.org/",,"http://www.brooklynbridgepark.org/go/programs-/-events/syfy-movies-with-a-view","http://ia.media-imdb.com/images/M/MV5BNDUwNjM3ODM5Nl5BMl5BanBnXkFtZTYwODM4MDY2._V1._SX480_SY360_.jpg",
,"an-american-tale","08/04/2011",,"An American Tale","08:00:00 PM","06:00:00 PM","Brooklyn Bridge Park","http://www.brooklynbridgepark.org/",,"http://www.brooklynbridgepark.org/go/programs-/-events/syfy-movies-with-a-view","http://2.bp.blogspot.com/_M9I8jQ4C3v8/TGmBuX1x8FI/AAAAAAAAAY4/gvk4_Rj9iYo/s1600/fievel+the+mouse+from+americal+tail.jpg",
,"breakfast-at-tiffanys","08/11/2011",,"Breakfast at Tiffany's","08:00:00 PM","06:00:00 PM","Brooklyn Bridge Park","http://www.brooklynbridgepark.org/",,"http://www.brooklynbridgepark.org/go/programs-/-events/syfy-movies-with-a-view","http://www.theiheartblog.com/wp-content/uploads/2010/10/Breakfast-at-Tiffanys.jpg",
,"crooklyn","08/18/2011",,"Crooklyn","08:00:00 PM","06:00:00 PM","Brooklyn Bridge Park","http://www.brooklynbridgepark.org/",,"http://www.brooklynbridgepark.org/go/programs-/-events/syfy-movies-with-a-view","http://www.moviecritic.com.au/images/crooklyn-film1.jpg",
,"rosemarys-baby","08/25/2011",,"Rosemary's Baby","08:00:00 PM","06:00:00 PM","Brooklyn Bridge Park","http://www.brooklynbridgepark.org/",,"http://www.brooklynbridgepark.org/go/programs-/-events/syfy-movies-with-a-view","http://ia.media-imdb.com/images/M/MV5BMjE0MDY1ODg2Nl5BMl5BanBnXkFtZTYwMjQ2MDM2._V1._SX420_SY314_.jpg",
