"Parser",,,,,,,,,,,,
,"ID","festival-bryant-park-summer-films-2011",,,,,,,,,,
"Festival",,,,,,,,,,,,
,"Name","Bryant Park Summer Film Festival",,,,,,,,,,
,"Merge Key","bryant-park-summer-films",,,,,,,,,,
,"Season Merge Key","bryant-park-summer-films-2011",,,,,,,,,,
,"Season Start Date","06/20/11",,,,,,,,,,
,"Season End Date","08/22/11",,,,,,,,,,
,"Season URL","http://www.bryantpark.org/plan-your-visit/filmfestival.html",,,,,,,,,,
"Venue",,,,,,,,,,,,
,"Name","Bryant Park",,,,,,,,,,
,"Address","42nd st and Avenue of the Americas, NY, NY 10036",,,,,,,,,,
,"City","manhattan",,,,,,,,,,
,"Neighborhood","above-14th-street",,,,,,,,,,
,"Lat",40.7535252,,,,,,,,,,
,"Long",-73.9829638,,,,,,,,,,
,"URL","http://www.bryantpark.org/",,,,,,,,,,
,,,,,,,,,,,,
"Shows",,,,,,,,,,,,
,"Merge Key","Show Date","Performers","Title","Show Time","Door Time","Venue Name","Venue URL","Free","Show URL","Image URL","Resources"
,"one-flew-over-the-cuckoos-nest","06/20/11",,"One Flew Over the Cuckoo's Nest","08:00:00 PM","05:00:00 PM","Bryant Park","http://www.bryantpark.org/",,"http://www.bryantpark.org/plan-your-visit/filmfestival.html","http://ia.media-imdb.com/images/M/MV5BMTM5MDMwMDIyMF5BMl5BanBnXkFtZTcwNTUzNTIwNA@@._V1._SX640_SY429_.jpg",
,"the-39-steps","06/27/11",,"The 39 Steps","08:00:00 PM","05:00:00 PM","Bryant Park","http://www.bryantpark.org/",,"http://www.bryantpark.org/plan-your-visit/filmfestival.html","http://ia.media-imdb.com/images/M/MV5BMjE4ODMwMjY4N15BMl5BanBnXkFtZTcwMDYxNDYyNA@@._V1._SX640_SY496_.jpg",
,"easy-rider","07/04/11",,"Easy Rider","08:00:00 PM","05:00:00 PM","Bryant Park","http://www.bryantpark.org/",,"http://www.bryantpark.org/plan-your-visit/filmfestival.html","http://www.jahsonic.com/EasyRider.jpg",
,"gentlemen-prefer-blondes","07/11/11",,"Gentlemen Prefer Blondes","08:00:00 PM","05:00:00 PM","Bryant Park","http://www.bryantpark.org/",,"http://www.bryantpark.org/plan-your-visit/filmfestival.html","http://ia.media-imdb.com/images/M/MV5BMTM5MTI1MDIzMl5BMl5BanBnXkFtZTYwMDY5MzU2._V1._SX347_SY450_.jpg",
,"in-the-heat-of-the-night","07/18/11",,"In the Heat of the Night","08:00:00 PM","05:00:00 PM","Bryant Park","http://www.bryantpark.org/",,"http://www.bryantpark.org/plan-your-visit/filmfestival.html","http://ia.media-imdb.com/images/M/MV5BMTk4NzM0NjE5OF5BMl5BanBnXkFtZTcwMjAwMjI0NA@@._V1._SX640_SY419_.jpg",
,"the-lady-eve","07/25/11",,"The Lady Eve","08:00:00 PM","05:00:00 PM","Bryant Park","http://www.bryantpark.org/",,"http://www.bryantpark.org/plan-your-visit/filmfestival.html","http://www.doctormacro.com/Images/Fonda,%20Henry/Annex/Annex%20-%20Fonda,%20Henry%20(Lady%20Eve,%20The)_01.jpg",
,"airplane","08/08/11",,"Airplane!","08:00:00 PM","05:00:00 PM","Bryant Park","http://www.bryantpark.org/",,"http://www.bryantpark.org/plan-your-visit/filmfestival.html","http://markosun.files.wordpress.com/2010/09/jive1.jpg?w=347",
,"high-sierra","08/15/11",,"High Sierra","08:00:00 PM","05:00:00 PM","Bryant Park","http://www.bryantpark.org/",,"http://www.bryantpark.org/plan-your-visit/filmfestival.html","http://ia.media-imdb.com/images/M/MV5BMTgzMTQzOTk0NV5BMl5BanBnXkFtZTYwNjA3MTM2._V1._SX346_SY450_.jpg",
,"dirty-harry","08/22/11",,"Dirty Harry","08:00:00 PM","05:00:00 PM","Bryant Park","http://www.bryantpark.org/",,"http://www.bryantpark.org/plan-your-visit/filmfestival.html","http://ia.media-imdb.com/images/M/MV5BMTQ2Mjk2NjE4OF5BMl5BanBnXkFtZTcwMjM4MzM3MQ@@._V1._SX640_SY423_.jpg",
