"Parser",,,,,,,,,,,,
,"ID","festival-celebrate-brooklyn-2011",,,,,,,,,,
"Festival",,,,,,,,,,,,
,"Name","Celebrate Brooklyn",,,,,,,,,,
,"Merge Key","celebrate-brooklyn",,,,,,,,,,
,"Season Merge Key","celebrate-brooklyn-2011",,,,,,,,,,
,"Season Start Date","06/10/11",,,,,,,,,,
,"Season End Date","08/11/11",,,,,,,,,,
,"Season URL","http://www.bricartsmedia.org/performing-arts/celebrate-brooklyn/2011-season",,,,,,,,,,
"Venue",,,,,,,,,,,,
,"Name","Prospect Park Bandshell",,,,,,,,,,
,"URL","http://www.prospectpark.org/visit/places/bandshell/",,,,,,,,,,
,"Address","Prospect Park West and 9th Street, Brooklyn, NY 11215",,,,,,,,,,
,"City","brooklyn",,,,,,,,,,
,"Neighborhood","park-slope-gowanus",,,,,,,,,,
,"Lat",40.65,,,,,,,,,,
,"Long",-73.94999999999999,,,,,,,,,,
,,,,,,,,,,,,
"Shows",,,,,,,,,,,,
,"Merge Key","Show Date","Performers","Title","Show Time","Door Time","Venue Name","Venue URL","Free","Show URL","Image URL","Resources"
,"andrew-bird","06/10/11","Andrew Bird",,"08:00:00 PM","06:30:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/","Yes","http://www.bricartsmedia.org/events/performing-arts/celebrate-brooklyn-opening-night-concert-with-andrew-bird","http://www.bricartsmedia.org/uploads/images/three-col/d1767d55-c1fb-4fc8-bc9b-25f4f8fa1c9a_andrewbird-chair_barn.jpg",
,"hal-willner","06/16/11",,"Hal Willner’s Freedom Rides Project","07:00:00 PM","06:00:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,"http://www.bricartsmedia.org/events/performing-arts/hal-willner-s-freedom-riders-project","http://www.bricartsmedia.org/uploads/images/two-col/8b529aaa-5862-4aec-aece-73e7ea35ce1a_freedomriders.jpg",
,"the-books","06/17/11","The Books, Junip, Doveman",,"07:00:00 PM","06:00:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,"http://www.bricartsmedia.org/events/performing-arts/the-books-with-junip-and-doveman","http://www.bricartsmedia.org/uploads/images/two-col/6b217832-dd26-4ca0-999b-5764412b39b2_thebooks.jpg",
