"Parser",,,,,,,,,,,,,
,"ID","festival-concerts-at-castle-clinton-2011",,,,,,,,,,,
"Festival",,,,,,,,,,,,,
,"Name","Concerts at Castle Clinton",,,,,,,,,,,
,"Merge Key","concerts-at-castle-clinton",,,,,,,,,,,
,"Season Merge Key","concerts-at-castle-clinton-2011",,,,,,,,,,,
,"Season Start Date","06/23/11",,,,,,,,,,,
,"Season End Date","07/14/11",,,,,,,,,,,
,"Season URL","http://www.rivertorivernyc.com/",,,,,,,,,,,
"Venue",,,,,,,,,,,,,
,"Name","Castle Clinton",,,,,,,,,,,
,"URL","http://www.thebattery.org/castle/",,,,,,,,,,,
,"Address","1 New York Plaza, NY, NY 10004 ",,,,,,,,,,,
,"City","manhattan",,,,,,,,,,,
,"Neighborhood",,,,,,,,,,,,
,"Lat",40.702501,,,,,,,,,,,
,"Long",-74.01223199999998,,,,,,,,,,,
,,,,,,,,,,,,,
"Shows",,,,,,,,,,,,,
,"Merge Key","Show Date","Performers","Title","Show Time","Door Time","Venue Name","Venue URL","Free","Show URL","Image URL","Resources","Tags"
,"vijay-iver-quintet","06/23/11","Vijay Iyer Quintet",,"07:00:00 PM",,"Castle Clinton","http://www.thebattery.org/castle/",,"http://www.rivertorivernyc.com/events/vijay-iyer-quintet","http://www.jazzmusicarchives.com/images/artists/vijay-iyer.jpg",,
,"laurie-anderson-bill-laswell","06/30/11","Laurie Anderson and Bill Laswell",,"07:00:00 PM",,"Castle Clinton","http://www.thebattery.org/castle/",,"http://www.rivertorivernyc.com/events/laurie-anderson-and-bill-laswell","http://www.prex.com/blog/wp-content/uploads/2010/07/1325-Laurie-Anderson.jpg",,
,"my-brightest-diamond","07/07/11","My Brightest Diamond,  yMusic",,"07:00:00 PM",,"Castle Clinton","http://www.thebattery.org/castle/",,"http://www.rivertorivernyc.com/events/my-brightest-diamond-ymusic","http://stereogum.com/img/my_brightest_diamond-rocknroll.jpg",,
,"patti-smith","07/14/11","Patti Smith and Her Band",,"07:00:00 PM",,"Castle Clinton","http://www.thebattery.org/castle/",,"http://www.rivertorivernyc.com/events/patti-smith-and-her-band","http://performingsongwriter.com/wp-content/uploads/2010/12/Patti-Smith.jpg",,
