"Parser",,,,,,,,,,,,
,"ID","seaport-music-festival-2011",,,,,,,,,,
"Festival",,,,,,,,,,,,
,"Name","Seaport Music Festival",,,,,,,,,,
,"Merge Key","seaport-music-festival-2011",,,,,,,,,,
,"Season Merge Key","seaport-music-festival-2011",,,,,,,,,,
,"Season Start Date","05/27/2011",,,,,,,,,,
,"Season End Date","08/19/2011",,,,,,,,,,
,"Season URL","http://www.seaportmusicfestival.com/",,,,,,,,,,
"Venue",,,,,,,,,,,,
,"Name","South Street Seaport – Pier 17",,,,,,,,,,
,"Address","89 South St Pier 17, New York, NY 10038",,,,,,,,,,
,"City","manhattan",,,,,,,,,,
,"Neighborhood",,,,,,,,,,,
,"Lat",40.9236227,,,,,,,,,,
,"Long",-73.90662729999997,,,,,,,,,,
,"URL","http://www.southstreetseaport.com/",,,,,,,,,,
,,,,,,,,,,,,
"Shows",,,,,,,,,,,,
,"Merge Key","Show Date","Performers","Title","Show Time","Door Time","Venue Name","Venue URL","Free","Show URL","Image URL","Resources"
,"ghost-of-a-saber-tooth-tiger","06/24/2011","The Ghost of a Saber Tooth Tiger",,"7pm",,"South Street Seaport – Pier 17","http://www.southstreetseaport.com/",,"http://www.seaportmusicfestival.com/","http://cdn.stereogum.com/files/2010/10/Ghost-Of-A-Saber-Tooth-Tiger-PR-2010.jpg",
,"lower-dens","07/01/2011","Lower Dens, Dirty Beaches",,"7pm",,"South Street Seaport – Pier 17","http://www.southstreetseaport.com/",,"http://www.seaportmusicfestival.com/","http://cdn.stereogum.com/files/2010/05/btw-lower-dens.jpg",
,"the-wake","07/08/2011","The Wake, Weekend",,"7pm",,"South Street Seaport – Pier 17","http://www.southstreetseaport.com/",,"http://www.seaportmusicfestival.com/","http://userserve-ak.last.fm/serve/500/177555/The+Wake.jpg",
,"the-radio-dept","07/15/2011","The Radio Dept, Asobi Seksu",,"7pm",,"South Street Seaport – Pier 17","http://www.southstreetseaport.com/",,"http://www.seaportmusicfestival.com/","http://i663.photobucket.com/albums/uu358/The405_photo/New/TheRadioDept-1.jpg",
