"Parser",,,,,,,,,,,,,
,"ID","festival-seaport-sound-bite-series",,,,,,,,,,,
"Festival",,,,,,,,,,,,,
,"Name","Seaport Sound Bite Series",,,,,,,,,,,
,"Merge Key","seaport-sound-bite-series",,,,,,,,,,,
,"Season Merge Key","seaport-sound-bite-series-2011",,,,,,,,,,,
,"Season Start Date","05/27/2011",,,,,,,,,,,
,"Season End Date","08/19/2011",,,,,,,,,,,
,"Season URL","http://www.rivertorivernyc.com/",,,,,,,,,,,
"Venue",,,,,,,,,,,,,
,"Name","South Street Seaport – Pier 17",,,,,,,,,,,
,"URL","http://www.southstreetseaport.com/",,,,,,,,,,,
,"Address","89 South St Pier 17, New York, NY 10038",,,,,,,,,,,
,"City","manhattan",,,,,,,,,,,
,"Neighborhood",,,,,,,,,,,,
,"Lat",40.9236227,,,,,,,,,,,
,"Long",-73.90662729999997,,,,,,,,,,,
,,,,,,,,,,,,,
"Shows",,,,,,,,,,,,,
,"Merge Key","Show Date","Performers","Title","Show Time","Door Time","Venue Name","Venue URL","Free","Show URL","Image URL","Resources","Tags"
,"hospitality","07/09/11","Hospitality",,"02:00:00 PM",,"South Street Seaport – Pier 17","http://www.southstreetseaport.com/",,"http://www.rivertorivernyc.com/events/sound-bites-series-hospitality","http://stereogum.com/img/hospitality-btw.jpg",,
,"my-teenage-stride","06/26/11","My Teenage Stride",,"02:00:00 PM",,"South Street Seaport – Pier 17","http://www.southstreetseaport.com/",,"http://www.rivertorivernyc.com/events/sound-bites-series-my-teenage-stride","http://www.corianton.com/tullyblog/uploaded_images/MY_TEENAGE_STRIDE-753792.jpg",,
,"the-hairs","07/03/11","The Hairs",,"02:00:00 PM",,"South Street Seaport – Pier 17","http://www.southstreetseaport.com/",,"http://www.rivertorivernyc.com/events/sound-bites-series-hairs","http://bandcamp.com/files/38/24/3824914604-1.jpg",,
,"pow-wow","07/10/11","Pow Wow!",,"02:00:00 PM",,"South Street Seaport – Pier 17","http://www.southstreetseaport.com/",,"http://www.rivertorivernyc.com/events/sound-bites-series-pow-wow","http://a4.l3-images.myspacecdn.com/images02/61/3fde4d7c163c449191a38259ffcc5b67/l.jpg",,
