"Parser",,,,,,,,,,,,
,"ID","festival-summer-stage-2011",,,,,,,,,,
"Festival",,,,,,,,,,,,
,"Name","Summer Stage",,,,,,,,,,
,"Merge Key","summer-stage",,,,,,,,,,
,"Season Merge Key","summer-stage-2011",,,,,,,,,,
,"Season Start Date","6/17/2011",,,,,,,,,,
,"Season End Date","8/28/2011",,,,,,,,,,
,"Season URL","http://www.summerstage.org/mainstage.html",,,,,,,,,,
"Venue",,,,,,,,,,,,
,"Name","Central Park Rumsey Playfield",,,,,,,,,,
,"URL","http://www.centralparknyc.org/",,,,,,,,,,
,"Address","Central Park, Rumsey Playfield",,,,,,,,,,
,"City","manhattan",,,,,,,,,,
,"Neighborhood","above-14th-street",,,,,,,,,,
,"Lat",40.7711329,,,,,,,,,,
,"Long",-73.9741874,,,,,,,,,,
,,,,,,,,,,,,
"Shows",,,,,,,,,,,,
,"Merge Key","Show Date","Performers","Title","Show Time","Door Time","Venue Name","Venue URL","Free","Show URL","Image URL","Resources"
,"istanbulive","6/17/2011","Zülfü Livaneli, maNga","Istanbulive III: Sounds of Civilizations","7pm",,"Central Park Rumsey Playfield","http://www.centralparknyc.org/",,,"http://www.lb9.net/thumb/1795-zulfu-livaneli-gozlerin.jpg",
,"ben-loncle","6/21/2011","Ben L'Oncle Soul, Catherine Ringer","Fete de la Musique","7pm",,"Central Park Rumsey Playfield","http://www.centralparknyc.org/",,,"http://www.francofolies.com/images/artistes/fiches/ben_oncle_soul.jpg",
,"reggie-watts","6/22/2011","Reggie Watts, Natasha Leggero",,"7:30pm",,"Central Park Rumsey Playfield","http://www.centralparknyc.org/",,,"http://www.thrillermag.com/wp-content/uploads/2010/06/reggie21.jpg",
,"florence-and-the-machine","6/24/2011","Florence and the Machine, Twin Shadow, Bubbles",,"6:30m",,"Central Park Rumsey Playfield","http://www.centralparknyc.org/",,,"http://www.ticketsinventory.com/images/last_photos/concert/F/florence-and-the-machine/show_florence-and-the-machine_tickets_13042701051338.png",
,"lee-fields","6/25/2011","Lee Fields + The Expressions, Fitz and the Tantrums, Andreya Triana, Rich Medina",,"4pm",,"Central Park Rumsey Playfield","http://www.centralparknyc.org/",,,"http://www.truthandsoulrecords.com/assets/Blog-Assets/Images/_resampled/ResizedImage470313-44.jpg",
,"hugh-masekela","6/26/2011","Hugh Masekela, Freshlyground, Somi",,"3pm",,"Central Park Rumsey Playfield","http://www.centralparknyc.org/",,,"http://www.5sm.co.za/pics/Superstars/HUGH-MASEKELA.jpg",
,"ram","7/3/2011","Ram, Group Doueh, Baloji, Globesonic Sound System",,"3pm",,"Central Park Rumsey Playfield","http://www.centralparknyc.org/",,,"http://musicjazz.info/wp-content/plugins/RSSPoster_PRO/cache/ba60a_ram-haiti.jpg",
,"jarabe-de-palo","7/6/2011","Jarabe De Paolo, Ely Guerra, Novalima, Mr. Pauer",,"7pm",,"Central Park Rumsey Playfield","http://www.centralparknyc.org/",,,"http://userserve-ak.last.fm/serve/_/36044949/Jarabe+de+Palo+jarabedepalo.jpg",
,"chocquibtown","7/9/2011","ChocQuibTown, Rita Indiana, Ursula 1000, Que Bajo?!",,"3pm",,"Central Park Rumsey Playfield","http://www.centralparknyc.org/",,,"http://www.urb.com/wp-content/thumbnails/36917.jpg",
,"ratatat","7/13/2011","Ratatat",,"6:30pm",,"Central Park Rumsey Playfield","http://www.centralparknyc.org/",,,"http://cdn.stereogum.com/files/2008/05/ratatat-shiller.jpg",
,"pink-martini","7/17/2011","Pink Martini",,"7pm",,"Central Park Rumsey Playfield","http://www.centralparknyc.org/",,,"http://sasquatchfestival.com/media/artist_photos/pink-lrg.jpg",
,"levon-helm-band","7/18/2011","Levon Helm Band, Emmylou Harris, Hayes Carll",,"6pm",,"Central Park Rumsey Playfield","http://www.centralparknyc.org/",,,"http://blogs.sfweekly.com/shookdown/Levon%20Helm%20Band%201.jpg",
